ContryAdditional,Country,commonBorderNoComma,BorderingCountry
Abkhazia,Abkhazia,141, Georgia
Abkhazia,Abkhazia,241,Russia
Afghanistan,Afghanistan,1 206, Tajikistan
Afghanistan,Afghanistan,137, Uzbekistan
Afghanistan,Afghanistan,2 430, Pakistan
Afghanistan,Afghanistan,66, India
Afghanistan,Afghanistan,744, Turkmenistan
Afghanistan,Afghanistan,76,People's Republic of China
Afghanistan,Afghanistan,935, Iran
Albania,Albania,112, Kosovo
Albania,Albania,151, North Macedonia
Albania,Albania,172, Montenegro
Albania,Albania,282,Greece
Algeria,Algeria,1 010, Tunisia
Algeria,Algeria,1 376, Mali
Algeria,Algeria,1 559, Morocco
Algeria,Algeria,42, Western Sahara
Algeria,Algeria,463, Mauritania
Algeria,Algeria,956, Niger
Algeria,Algeria,982,Libya
Andorra,Andorra,56.6,France
Andorra,Andorra,63.7, Spain
Angola,Angola,1 110, Zambia
Angola,Angola,1 376, Namibia
Angola,Angola,2 511,Democratic Republic of the Congo (2)
Angola,Angola,201,[7] Republic of the Congo
Argentina,Argentina,1 224, Brazil
Argentina,Argentina,1 880,[8] Paraguay
Argentina,Argentina,5 300, Chile (2)
Argentina,Argentina,579, Uruguay
Argentina,Argentina,832,Bolivia
Armenia,Armenia,164,[9] Georgia
Armenia,Armenia,268, Turkey
Armenia,Armenia,35, Iran
Armenia,Armenia,787,Azerbaijan (6)
Austria,Austria,164,  Switzerland (2)
Austria,Austria,330, Slovenia
Austria,Austria,34, Liechtenstein
Austria,Austria,362,Czech Republic
Austria,Austria,366, Hungary
Austria,Austria,430, Italy
Austria,Austria,784, Germany
Austria,Austria,91, Slovakia
Azerbaijan,Azerbaijan,284, Russia
Azerbaijan,Azerbaijan,322,[9] Georgia
Azerbaijan,Azerbaijan,432, Iran (2)
Azerbaijan,Azerbaijan,787,Armenia (6)
Azerbaijan,Azerbaijan,9, Turkey
Bangladesh,Bangladesh,193, Myanmar
Bangladesh,Bangladesh,4 053,"India (2), including Dahagram-Angarpota"
Belarus,Belarus,141,Latvia
Belarus,Belarus,407, Poland
Belarus,Belarus,502, Lithuania
Belarus,Belarus,891, Ukraine
Belarus,Belarus,959, Russia
Belgium,Belgium,148, Luxembourg
Belgium,Belgium,167, Germany (6)
Belgium,Belgium,450, Netherlands (31)
Belgium,Belgium,620,France
Belize,Belize,250, Mexico
Belize,Belize,266,Guatemala
Benin,Benin,266, Niger
Benin,Benin,306,Burkina Faso
Benin,Benin,644, Togo
Benin,Benin,773, Nigeria
Bhutan,Bhutan,470,People's Republic of China
Bhutan,Bhutan,605, India
Bolivia,Bolivia,3 400, Brazil
